ln_wage,educ,servseg,educ_servseg,exp,exp_sq,fem,cont,reg_i,age
8.987196821,0,0,0,1,1,0,0,SE,19
7.313220387,0,0,0,3,9,0,0,SE,18
8.006367568,0,0,0,8,64,1,0,MRD,23
8.242756346,0,0,0,9,81,1,0,MRD,24
8.853665428,0,0,0,15,225,1,1,MRD,26
8.853665428,0,0,0,15,225,1,1,MRD,26
8.411832676,0,0,0,4,16,1,0,MRD,22
8.433811582,0,0,0,10,100,0,0,MRD,25
8.433811582,0,0,0,11,121,0,0,MRD,26
8.517193191,0,0,0,15,225,1,0,MRD,30
8.342839804,0,0,0,9,81,0,0,MRD,20
8.411832676,0,0,0,10,100,0,0,MRD,21
8.433811582,0,0,0,10,100,0,1,MRD,25
8.318742253,0,0,0,10,100,1,0,MRD,25
8.242756346,0,0,0,10,100,1,0,MRD,25
9.674074388,0,0,0,23,529,0,0,MRD,34
8.188689124,0,0,0,24,576,0,0,MRD,33
8.342839804,0,0,0,24,576,0,0,MRD,33
8.342839804,0,0,0,20,400,1,0,MRD,31
9.104979856,0,0,0,15,225,0,1,MRD,33
9.305650552,1,1,1,7,49,1,1,MRD,29
9.392661929,1,1,1,8,64,1,1,MRD,30
8.699514748,0,0,0,13,169,1,0,MRD,24
8.612503371,0,0,0,6,36,0,1,MRD,17
8.556413905,0,0,0,8,64,0,0,MRD,17
8.612503371,0,0,0,16,256,0,1,MRD,31
8.824677891,0,0,0,17,289,0,1,MRD,32
8.732304571,0,0,0,16,256,1,1,MRD,31
8.342839804,0,0,0,17,289,0,1,MRD,28
8.665613197,0,0,0,18,324,0,1,MRD,29
8.006367568,0,0,0,23,529,1,0,MRD,34
8.853665428,0,0,0,19,361,0,0,MRD,34
8.517193191,0,0,0,11,121,0,1,MRD,29
8.476371197,0,0,0,22,484,0,0,MRD,33
8.476371197,0,0,0,23,529,0,0,MRD,34
8.29404964,0,0,0,4,16,1,1,MRD,24
8.242756346,0,0,0,6,36,0,1,MRD,27
8.29404964,0,0,0,6,36,1,0,MRD,21
7.60090246,0,0,0,0,0,1,0,MRD,18
8.9226583,0,0,0,15,225,0,1,MRD,33
8.824677891,0,0,0,16,256,0,1,MRD,34
8.160518247,0,0,0,7,49,0,0,MRD,22
8.486733984,0,0,0,1,1,1,0,MRD,16
7.649692624,0,0,0,3,9,0,0,MRD,18
8.255828427,0,0,0,3,9,0,0,MRD,18
8.38935982,0,0,0,17,289,1,1,MRD,28
7.649692624,0,0,0,9,81,0,0,MRD,20
7.495541944,0,0,0,8,64,1,0,MRD,26
7.43838353,0,0,0,8,64,1,0,MRD,26
7.549609165,0,0,0,15,225,0,0,MRD,30
8.006367568,0,0,0,16,256,0,1,MRD,25
7.824046011,0,0,0,11,121,1,0,MRD,26
8.342839804,0,1,0,7,49,1,0,MRD,28
8.366370302,0,0,0,14,196,1,0,MRD,32
8.070906089,0,0,0,10,100,0,1,MRD,25
7.901007052,0,0,0,6,36,0,0,MRD,21
8.517193191,0,0,0,14,196,0,0,MRD,29
8.411832676,0,0,0,16,256,0,0,MRD,31
8.517193191,0,0,0,16,256,0,0,MRD,31
7.244227516,0,0,0,1,1,0,0,MRD,19
8.536995819,0,0,0,24,576,1,0,MRD,35
8.006367568,0,0,0,8,64,1,0,MRD,19
8.188689124,0,0,0,16,256,1,0,MRD,27
8.188689124,0,0,0,22,484,1,0,MRD,31
8.411832676,0,0,0,13,169,0,0,MRD,22
7.824046011,0,0,0,17,289,1,1,MRD,35
8.006367568,0,0,0,26,676,0,0,MRD,35
8.517193191,0,0,0,27,729,0,0,MRD,33
8.517193191,0,0,0,27,729,0,0,MRD,33
8.496990484,0,0,0,8,64,0,0,MRD,19
8.699514748,0,0,0,9,81,0,0,MRD,20
7.824046011,0,0,0,4,16,1,0,MRD,22
7.824046011,0,0,0,4,16,1,0,MRD,22
8.411832676,0,0,0,4,16,1,0,MRD,15
8.411832676,0,0,0,3,9,0,0,MRD,18
8.411832676,0,1,0,0,0,0,0,MRD,20
8.160518247,0,0,0,0,0,1,0,MRD,18
8.476371197,0,0,0,12,144,0,0,MRD,23
8.342839804,0,0,0,26,676,1,0,MRD,35
8.160518247,0,0,0,13,169,1,0,MRD,31
8.342839804,0,0,0,20,400,0,1,MRD,35
8.411832676,1,0,0,4,16,0,0,MRD,26
8.433811582,1,0,0,4,16,0,0,MRD,26
8.556413905,0,0,0,19,361,0,0,MRD,34
8.496990484,0,0,0,17,289,0,0,MRD,32
8.318742253,0,0,0,4,16,0,1,MRD,19
8.342839804,0,0,0,26,676,1,0,MRD,35
8.160518247,0,0,0,15,225,1,0,MRD,26
8.9226583,0,0,0,25,625,0,0,MRD,34
8.476371197,0,0,0,19,361,1,0,MRD,30
8.935903526,0,0,0,8,64,0,0,MRD,23
8.853665428,0,0,0,10,100,0,0,MRD,25
8.517193191,0,0,0,7,49,1,1,MRD,22
8.853665428,0,0,0,11,121,0,0,MRD,26
8.853665428,0,0,0,9,81,0,0,MRD,20
8.476371197,0,0,0,11,121,1,1,MRD,22
8.699514748,0,0,0,16,256,0,0,MRD,27
8.070906089,0,0,0,5,25,0,0,MRD,16
8.987196821,1,0,0,8,64,0,1,MRD,30
8.699514748,1,1,1,8,64,1,1,MRD,30
8.853665428,0,0,0,16,256,0,0,MRD,31
8.476371197,0,0,0,4,16,1,1,MRD,22
8.699514748,0,0,0,23,529,0,0,MRD,34
8.517193191,0,0,0,11,121,1,1,MRD,29
8.29404964,0,0,0,22,484,1,0,MRD,31
9.210340372,0,0,0,17,289,0,0,MRD,32
9.210340372,0,0,0,5,25,0,0,MRD,20
8.29404964,0,0,0,6,36,1,0,MRD,21
